comp_id,name_гтше,job_title,experience_level,work_model,salary_usd_k,productivity,collaboration,reliability,specialization,exp_tag,tags,
1,Data Engineer (Mid#1),Data Engineer,Mid-level,Remote,148,66,72,82,DataEngineering,Mid,DataEngineering,Mid
2,Data Engineer (Mid#2),Data Engineer,Mid-level,Remote,99,66,74,82,DataEngineering,Mid,DataEngineering,Mid
3,Data Scientist (Senior#1),Data Scientist,Senior-level,Remote,140,88,81,86,DataScience,Senior,DataScience,Senior
4,Data Scientist (Senior#2),Data Scientist,Senior-level,Remote,100,88,81,86,DataScience,Senior,DataScience,Senior
5,Data Scientist (Mid#1),Data Scientist,Mid-level,Remote,148,68,72,78,DataScience,Mid,DataScience,Mid
6,Data Scientist (Mid#2),Data Scientist,Mid-level,Remote,99,68,74,78,DataScience,Mid,DataScience,Mid
7,Data Engineer (Mid#3),Data Engineer,Mid-level,On-site,146,66,71,82,DataEngineering,Mid,DataEngineering,Mid
8,Data Engineer (Mid#4),Data Engineer,Mid-level,On-site,93,66,77,82,DataEngineering,Mid,DataEngineering,Mid
9,Data Scientist (Mid#3),Data Scientist,Mid-level,On-site,85,68,72,78,DataScience,Mid,DataScience,Mid
10,Data Scientist (Mid#4),Data Scientist,Mid-level,On-site,75,68,76,78,DataScience,Mid,DataScience,Mid
11,Data Engineer (Senior#1),Data Engineer,Senior-level,On-site,205,85,81,90,DataEngineering,Senior,DataEngineering,Senior
12,Data Engineer (Senior#2),Data Engineer,Senior-level,On-site,185,85,82,90,DataEngineering,Senior,DataEngineering,Senior
13,Data Analyst (Junior#1),Data Analyst,Entry-level,On-site,115,43,59,69,Analytics,Junior,Analytics,Junior
14,Data Analyst (Junior#2),Data Analyst,Entry-level,On-site,85,43,59,69,Analytics,Junior,Analytics,Junior
15,Machine Learning Engineer (Senior#1),Machine Learning Engineer,Senior-level,On-site,268,95,87,86,ML,Senior,ML,Senior
16,Machine Learning Engineer (Senior#2),Machine Learning Engineer,Senior-level,On-site,235,95,86,86,ML,Senior,ML,Senior
17,Data Analyst (Junior#3),Data Analyst,Entry-level,On-site,196,43,65,69,Analytics,Junior,Analytics,Junior
18,Data Analyst (Junior#4),Data Analyst,Entry-level,On-site,68,43,60,69,Analytics,Junior,Analytics,Junior
19,Data Scientist (Senior#3),Data Scientist,Senior-level,On-site,242,88,83,86,DataScience,Senior,DataScience,Senior
20,Data Scientist (Senior#4),Data Scientist,Senior-level,On-site,106,88,82,86,DataScience,Senior,DataScience,Senior
21,Machine Learning Engineer (Senior#3),Machine Learning Engineer,Senior-level,On-site,215,95,86,86,ML,Senior,ML,Senior
22,Machine Learning Engineer (Senior#4),Machine Learning Engineer,Senior-level,On-site,147,95,86,86,ML,Senior,ML,Senior
23,Data Analyst (Senior#1),Data Analyst,Senior-level,On-site,176,75,85,89,Analytics,Senior,Analytics,Senior
24,Data Analyst (Senior#2),Data Analyst,Senior-level,On-site,104,75,86,89,Analytics,Senior,Analytics,Senior
25,Analytics Engineer (Senior#1),Analytics Engineer,Senior-level,Remote,170,82,81,90,Analytics,Senior,Analytics,Senior
26,Analytics Engineer (Senior#2),Analytics Engineer,Senior-level,Remote,130,82,83,90,Analytics,Senior,Analytics,Senior
27,Data Analyst (Mid#1),Data Analyst,Mid-level,On-site,134,58,71,81,Analytics,Mid,Analytics,Mid
28,Data Analyst (Mid#2),Data Analyst,Mid-level,On-site,100,58,78,81,Analytics,Mid,Analytics,Mid
29,Machine Learning Engineer (Mid#1),Machine Learning Engineer,Mid-level,On-site,173,74,76,78,ML,Mid,ML,Mid
30,Machine Learning Engineer (Mid#2),Machine Learning Engineer,Mid-level,On-site,99,74,73,78,ML,Mid,ML,Mid
31,Research Scientist (Senior#1),Research Scientist,Senior-level,On-site,258,94,88,87,Research,Senior,Research,Senior
32,Research Scientist (Senior#2),Research Scientist,Senior-level,On-site,152,94,88,87,Research,Senior,Research,Senior
33,Research Engineer (Senior#1),Research Engineer,Senior-level,On-site,100,91,88,85,Research,Senior,Research,Senior
34,Machine Learning Engineer (Junior#1),Machine Learning Engineer,Entry-level,On-site,91,55,61,66,ML,Junior,ML,Junior
35,Machine Learning Engineer (Junior#2),Machine Learning Engineer,Entry-level,On-site,70,55,64,66,ML,Junior,ML,Junior
36,AI Engineer (Mid#1),AI Engineer,Mid-level,On-site,170,74,77,80,AI,Mid,AI,Mid
37,AI Engineer (Mid#2),AI Engineer,Mid-level,On-site,84,74,78,80,AI,Mid,AI,Mid
