comp_id_a,comp_id_b,value,note
1,2,-1.0,Дублирование роли
1,7,-1.0,Дублирование роли
1,8,-1.0,Дублирование роли
1,11,-1.0,Дублирование роли
1,12,-1.0,Дублирование роли
1,15,3.0,ML pipeline: данные + модели
1,16,3.0,ML pipeline: данные + модели
1,21,3.0,ML pipeline: данные + модели
1,22,3.0,ML pipeline: данные + модели
1,29,3.0,ML pipeline: данные + модели
1,30,3.0,ML pipeline: данные + модели
1,34,3.0,ML pipeline: данные + модели
1,35,3.0,ML pipeline: данные + модели
1,38,-1.0,Дублирование роли
1,39,-1.0,Дублирование роли
1,40,2.5,Data pipeline + архитектура
1,41,2.5,Data pipeline + архитектура
1,46,2.5,Data pipeline + архитектура
1,47,2.5,Data pipeline + архитектура
1,57,3.0,ML pipeline: данные + модели
1,63,3.0,ML pipeline: данные + модели
1,64,3.0,ML pipeline: данные + модели
1,65,3.0,ML pipeline: данные + модели
1,66,3.0,ML pipeline: данные + модели
1,76,3.0,ML pipeline: данные + модели
1,77,3.0,ML pipeline: данные + модели
1,78,3.0,ML pipeline: данные + модели
1,83,3.0,ML pipeline: данные + модели
1,84,3.0,ML pipeline: данные + модели
1,89,-1.0,Дублирование роли
1,95,3.0,ML pipeline: данные + модели
1,96,3.0,ML pipeline: данные + модели
1,97,2.5,Data pipeline + архитектура
1,98,2.5,Data pipeline + архитектура
1,99,3.0,ML pipeline: данные + модели
1,100,3.0,ML pipeline: данные + модели
1,102,-1.0,Дублирование роли
1,103,-1.0,Дублирование роли
1,104,-1.0,Дублирование роли
1,105,3.0,ML pipeline: данные + модели
1,108,2.5,Data pipeline + архитектура
1,109,2.5,Data pipeline + архитектура
2,7,-1.0,Дублирование роли
2,8,-1.0,Дублирование роли
2,11,-1.0,Дублирование роли
2,12,-1.0,Дублирование роли
2,15,3.0,ML pipeline: данные + модели
2,16,3.0,ML pipeline: данные + модели
2,21,3.0,ML pipeline: данные + модели
2,22,3.0,ML pipeline: данные + модели
2,29,3.0,ML pipeline: данные + модели
2,30,3.0,ML pipeline: данные + модели
2,34,3.0,ML pipeline: данные + модели
2,35,3.0,ML pipeline: данные + модели
2,38,-1.0,Дублирование роли
2,39,-1.0,Дублирование роли
2,40,2.5,Data pipeline + архитектура
2,41,2.5,Data pipeline + архитектура
